,Content ID,,Datetime,Content Type,Category,Sentiment,Score,Reaction Type
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,,9/5/21 2:42,photo,healthy eating,positive,30,interested
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,,11/5/21 8:38,photo,healthy eating,negative,10,dislike
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,,12/11/20 8:00,photo,healthy eating,neutral,35,peeking
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,,21/6/20 16:57,photo,healthy eating,positive,60,heart
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,,4/3/21 23:58,photo,healthy eating,positive,75,super love
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,,9/7/20 16:47,photo,healthy eating,positive,70,want
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,,1/8/20 19:16,photo,healthy eating,negative,5,hate
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,,23/11/20 22:46,photo,healthy eating,negative,10,dislike
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,,11/12/20 14:08,photo,healthy eating,negative,15,scared
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,,23/4/21 23:41,photo,healthy eating,negative,10,dislike
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,,13/11/20 0:33,photo,healthy eating,positive,70,want
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,,9/6/21 10:13,photo,healthy eating,positive,30,interested
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,,29/10/20 19:41,photo,healthy eating,positive,65,love
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,,14/5/21 12:47,photo,healthy eating,positive,60,heart
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,,4/8/20 5:40,photo,healthy eating,negative,0,disgust
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,,7/8/20 4:09,photo,healthy eating,positive,72,adore
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,,23/10/20 21:19,photo,healthy eating,positive,72,adore
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,,14/11/20 23:53,photo,healthy eating,positive,72,adore
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,,4/8/20 19:26,photo,healthy eating,negative,12,worried
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,,12/11/20 4:54,photo,healthy eating,positive,30,interested
91,356fff80-da4d-4785-9f43-bc1261031dc6,,3/4/21 12:17,photo,technology,negative,12,worried
92,356fff80-da4d-4785-9f43-bc1261031dc6,,27/9/20 22:15,photo,technology,positive,70,want
93,356fff80-da4d-4785-9f43-bc1261031dc6,,27/10/20 5:45,photo,technology,positive,60,heart
94,356fff80-da4d-4785-9f43-bc1261031dc6,,15/10/20 9:11,photo,technology,negative,15,scared
95,356fff80-da4d-4785-9f43-bc1261031dc6,,7/5/21 9:16,photo,technology,positive,60,heart
96,356fff80-da4d-4785-9f43-bc1261031dc6,,16/9/20 8:39,photo,technology,negative,5,hate
97,356fff80-da4d-4785-9f43-bc1261031dc6,,29/10/20 15:38,photo,technology,neutral,20,indifferent
98,01ab84dd-6364-4236-abbb-3f237db77180,,24/5/21 18:03,video,food,negative,15,scared
99,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,25/2/21 20:02,GIF,cooking,positive,30,interested
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,2/5/21 3:45,GIF,cooking,negative,5,hate
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,28/1/21 8:49,GIF,cooking,positive,70,want
102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,15/2/21 13:06,GIF,cooking,neutral,35,peeking
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,4/11/20 21:25,GIF,cooking,negative,10,dislike
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,23/6/20 22:12,GIF,cooking,positive,65,love
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,16/2/21 4:01,GIF,cooking,positive,70,cherish
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,3/1/21 8:44,GIF,cooking,positive,30,interested
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,25/11/20 12:45,GIF,cooking,positive,72,adore
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,3/12/20 16:47,GIF,cooking,positive,50,like
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,22/5/21 21:03,GIF,cooking,positive,50,like
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,18/1/21 13:39,GIF,cooking,positive,70,cherish
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,6/1/21 0:35,GIF,cooking,neutral,20,indifferent
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,14/5/21 14:33,GIF,cooking,positive,72,adore
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,27/5/21 15:21,GIF,cooking,negative,12,worried
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,21/7/20 2:12,GIF,cooking,neutral,35,peeking
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,26/5/21 6:09,GIF,cooking,negative,10,dislike
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,25/2/21 3:16,GIF,cooking,negative,10,dislike
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,7/12/20 22:50,GIF,cooking,positive,45,intrigued
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,24/10/20 14:06,GIF,cooking,neutral,20,indifferent
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,1/9/20 21:18,GIF,cooking,neutral,35,peeking
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,10/5/21 22:07,GIF,cooking,positive,72,adore
121,3f8590c7-6ab2-4973-805a-90cdec355f05,,12/2/21 16:37,video,dogs,positive,70,cherish
122,3f8590c7-6ab2-4973-805a-90cdec355f05,,28/4/21 15:22,video,dogs,positive,60,heart
123,3f8590c7-6ab2-4973-805a-90cdec355f05,,24/1/21 0:38,video,dogs,positive,45,intrigued
124,3f8590c7-6ab2-4973-805a-90cdec355f05,,18/3/21 1:53,video,dogs,negative,12,worried
125,3f8590c7-6ab2-4973-805a-90cdec355f05,,14/1/21 7:21,video,dogs,negative,0,disgust
126,3f8590c7-6ab2-4973-805a-90cdec355f05,,23/12/20 4:11,video,dogs,positive,60,heart
127,3f8590c7-6ab2-4973-805a-90cdec355f05,,21/5/21 7:23,video,dogs,negative,5,hate
128,3f8590c7-6ab2-4973-805a-90cdec355f05,,28/3/21 23:25,video,dogs,positive,50,like
129,3f8590c7-6ab2-4973-805a-90cdec355f05,,16/9/20 7:33,video,dogs,neutral,35,peeking
130,3f8590c7-6ab2-4973-805a-90cdec355f05,,8/11/20 10:53,video,dogs,neutral,20,indifferent
131,3f8590c7-6ab2-4973-805a-90cdec355f05,,6/3/21 5:23,video,dogs,positive,60,heart
132,3f8590c7-6ab2-4973-805a-90cdec355f05,,13/1/21 23:35,video,dogs,negative,0,disgust
133,3f8590c7-6ab2-4973-805a-90cdec355f05,,6/9/20 22:35,video,dogs,positive,70,want
134,3f8590c7-6ab2-4973-805a-90cdec355f05,,24/6/20 9:31,video,dogs,positive,30,interested
135,3f8590c7-6ab2-4973-805a-90cdec355f05,,7/2/21 21:39,video,dogs,negative,5,hate
136,3f8590c7-6ab2-4973-805a-90cdec355f05,,21/1/21 18:28,video,dogs,positive,45,intrigued
137,3f8590c7-6ab2-4973-805a-90cdec355f05,,27/2/21 0:21,video,dogs,negative,10,dislike
138,3f8590c7-6ab2-4973-805a-90cdec355f05,,22/8/20 12:06,video,dogs,negative,12,worried
139,3f8590c7-6ab2-4973-805a-90cdec355f05,,3/8/20 6:29,video,dogs,positive,70,cherish
140,3f8590c7-6ab2-4973-805a-90cdec355f05,,2/8/20 6:20,video,dogs,negative,15,scared
141,3f8590c7-6ab2-4973-805a-90cdec355f05,,4/6/21 4:57,video,dogs,positive,70,want
142,3f8590c7-6ab2-4973-805a-90cdec355f05,,21/10/20 9:07,video,dogs,positive,75,super love
143,3f8590c7-6ab2-4973-805a-90cdec355f05,,26/12/20 19:46,video,dogs,negative,10,dislike
144,3f8590c7-6ab2-4973-805a-90cdec355f05,,2/3/21 22:47,video,dogs,negative,15,scared
145,3f8590c7-6ab2-4973-805a-90cdec355f05,,31/3/21 9:48,video,dogs,neutral,20,indifferent
146,3f8590c7-6ab2-4973-805a-90cdec355f05,,14/6/21 13:44,video,dogs,positive,30,interested
147,3f8590c7-6ab2-4973-805a-90cdec355f05,,27/12/20 17:04,video,dogs,negative,15,scared
148,3f8590c7-6ab2-4973-805a-90cdec355f05,,11/2/21 3:51,video,dogs,negative,15,scared
149,3f8590c7-6ab2-4973-805a-90cdec355f05,,7/12/20 19:07,video,dogs,positive,30,interested
150,3f8590c7-6ab2-4973-805a-90cdec355f05,,28/12/20 8:31,video,dogs,positive,30,interested
151,3f8590c7-6ab2-4973-805a-90cdec355f05,,26/10/20 5:27,video,dogs,positive,30,interested
152,3f8590c7-6ab2-4973-805a-90cdec355f05,,26/9/20 18:43,video,dogs,negative,12,worried
153,3f8590c7-6ab2-4973-805a-90cdec355f05,,25/11/20 13:01,video,dogs,negative,15,scared
154,3f8590c7-6ab2-4973-805a-90cdec355f05,,11/7/20 5:51,video,dogs,positive,60,heart
155,3f8590c7-6ab2-4973-805a-90cdec355f05,,19/3/21 16:23,video,dogs,positive,60,heart
156,3f8590c7-6ab2-4973-805a-90cdec355f05,,11/10/20 18:31,video,dogs,positive,30,interested
157,3f8590c7-6ab2-4973-805a-90cdec355f05,,2/11/20 20:15,video,dogs,positive,60,heart
158,3f8590c7-6ab2-4973-805a-90cdec355f05,,1/10/20 3:35,video,dogs,positive,70,want
159,3f8590c7-6ab2-4973-805a-90cdec355f05,,11/2/21 20:10,video,dogs,negative,0,disgust
160,3f8590c7-6ab2-4973-805a-90cdec355f05,,7/2/21 15:59,video,dogs,positive,70,want
161,3f8590c7-6ab2-4973-805a-90cdec355f05,,17/10/20 11:46,video,dogs,negative,5,hate
162,3f8590c7-6ab2-4973-805a-90cdec355f05,,9/8/20 19:41,video,dogs,positive,50,like
163,3f8590c7-6ab2-4973-805a-90cdec355f05,,1/2/21 2:40 AM,video,dogs,positive,65,love
164,3f8590c7-6ab2-4973-805a-90cdec355f05,,30/1/21 9:36,video,dogs,positive,72,adore
165,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,,31/3/21 15:24,video,technology,positive,70,want
166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,,5/2/21 17:00,video,technology,positive,75,super love
167,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,,19/2/21 16:29,video,technology,positive,60,heart
168,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,,25/7/20 0:00,video,technology,negative,12,worried
169,0bedca96-fb76-4287-a83c-17330ed39cce,,13/7/20 2:38,photo,soccer,positive,72,adore
170,0bedca96-fb76-4287-a83c-17330ed39cce,,13/1/21 13:11,photo,soccer,neutral,20,indifferent
171,0bedca96-fb76-4287-a83c-17330ed39cce,,2/1/21 16:46,photo,soccer,negative,12,worried
172,0bedca96-fb76-4287-a83c-17330ed39cce,,26/11/20 2:25,photo,soccer,positive,45,intrigued
173,0bedca96-fb76-4287-a83c-17330ed39cce,,25/8/20 19:18,photo,soccer,positive,70,want
174,0bedca96-fb76-4287-a83c-17330ed39cce,,1/2/21 12:15 AM,photo,soccer,negative,5,hate
175,0bedca96-fb76-4287-a83c-17330ed39cce,,4/6/21 14:36,photo,soccer,positive,65,love
176,0bedca96-fb76-4287-a83c-17330ed39cce,,19/8/20 13:38,photo,soccer,positive,72,adore
177,0bedca96-fb76-4287-a83c-17330ed39cce,,22/4/21 2:08,photo,soccer,positive,70,cherish
178,0bedca96-fb76-4287-a83c-17330ed39cce,,26/6/20 10:33,photo,soccer,positive,75,super love
179,0bedca96-fb76-4287-a83c-17330ed39cce,,15/8/20 18:16,photo,soccer,positive,50,like
180,0bedca96-fb76-4287-a83c-17330ed39cce,,26/11/20 13:42,photo,soccer,positive,65,love
181,b18cb63f-4c8e-44ee-a47f-541e95191d11,,14/4/21 0:56,photo,public speaking,positive,70,want
182,b18cb63f-4c8e-44ee-a47f-541e95191d11,,21/7/20 21:27,photo,public speaking,neutral,20,indifferent
183,b18cb63f-4c8e-44ee-a47f-541e95191d11,,29/3/21 6:57,photo,public speaking,negative,10,dislike
184,b18cb63f-4c8e-44ee-a47f-541e95191d11,,20/5/21 16:11,photo,public speaking,positive,70,want
185,b18cb63f-4c8e-44ee-a47f-541e95191d11,,2/11/20 6:09,photo,public speaking,positive,50,like
186,b18cb63f-4c8e-44ee-a47f-541e95191d11,,24/10/20 15:37,photo,public speaking,neutral,20,indifferent
187,b18cb63f-4c8e-44ee-a47f-541e95191d11,,7/9/20 14:42,photo,public speaking,positive,60,heart
188,b18cb63f-4c8e-44ee-a47f-541e95191d11,,4/3/21 2:46,photo,public speaking,negative,15,scared
189,b18cb63f-4c8e-44ee-a47f-541e95191d11,,7/1/21 14:08,photo,public speaking,positive,72,adore
190,b18cb63f-4c8e-44ee-a47f-541e95191d11,,6/7/20 11:18,photo,public speaking,neutral,35,peeking
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,,27/3/21 4:56,photo,public speaking,positive,50,like
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,,21/11/20 21:25,photo,public speaking,positive,45,intrigued
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,,22/8/20 1:25,photo,public speaking,positive,70,cherish
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,,14/6/21 11:45,photo,public speaking,neutral,35,peeking
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,,15/7/20 19:28,photo,public speaking,negative,12,worried
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,,21/3/21 14:39,photo,public speaking,positive,45,intrigued
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,,7/4/21 3:15,photo,public speaking,positive,75,super love
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,,24/4/21 6:56,photo,public speaking,positive,70,cherish
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,,30/9/20 14:05,photo,public speaking,positive,60,heart
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,,19/7/20 19:28,photo,public speaking,positive,60,heart
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,,21/1/21 7:08,photo,public speaking,negative,15,scared
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,,31/1/21 13:48,photo,public speaking,negative,15,scared
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,,24/12/20 3:24,photo,public speaking,negative,5,hate
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,,27/5/21 1:44,photo,public speaking,negative,0,disgust
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,,13/2/21 4:14,photo,public speaking,negative,0,disgust
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,,14/7/20 4:36,photo,public speaking,positive,72,adore
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,,15/7/20 16:03,photo,public speaking,negative,10,dislike
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,,8/10/20 17:23,photo,public speaking,positive,50,like
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,,12/11/20 23:55,photo,public speaking,positive,60,heart
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,,21/2/21 5:01,photo,public speaking,positive,70,want
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,,9/7/20 8:58,photo,public speaking,positive,45,intrigued
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,,26/6/20 23:45,photo,public speaking,positive,72,adore
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,,20/11/20 13:18,photo,public speaking,negative,12,worried
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,,29/5/21 21:34,photo,public speaking,positive,50,like
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,,22/2/21 2:48,photo,public speaking,neutral,20,indifferent
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,,7/1/21 18:39,photo,public speaking,negative,15,scared
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,,1/10/20 15:10,photo,public speaking,positive,72,adore
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,,21/11/20 8:24,photo,public speaking,negative,5,hate
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,,15/4/21 13:50,photo,public speaking,negative,15,scared
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,,30/6/20 1:14,photo,public speaking,positive,65,love
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,,1/12/20 15:06,photo,public speaking,positive,70,want
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,,7/11/20 0:47,photo,public speaking,negative,15,scared
223,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,30/6/20 13:08,GIF,science,positive,75,super love
224,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,4/8/20 3:09,GIF,science,positive,60,heart
225,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,28/7/20 7:01,GIF,science,positive,45,intrigued
226,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,25/10/20 2:39,GIF,science,positive,75,super love
227,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,5/7/20 3:37,GIF,science,negative,12,worried
228,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,28/4/21 15:16,GIF,science,positive,70,cherish
229,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,31/1/21 0:54,GIF,science,neutral,20,indifferent
230,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,29/8/20 11:37,GIF,science,positive,72,adore
231,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,15/10/20 12:09,GIF,science,positive,45,intrigued
232,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,2/8/20 21:20,GIF,science,positive,65,love
233,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,31/10/20 21:46,GIF,science,negative,15,scared
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,12/10/20 9:40,GIF,science,positive,60,heart
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,12/12/20 12:22,GIF,science,positive,70,want
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,9/1/21 16:37,GIF,science,positive,50,like
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,23/8/20 4:39,GIF,science,negative,5,hate
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,22/12/20 4:20,GIF,science,positive,65,love
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,7/11/20 8:49,GIF,science,negative,0,disgust
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,17/4/21 22:45,GIF,science,positive,72,adore
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,21/4/21 0:21,GIF,science,negative,15,scared
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,19/7/20 10:33,GIF,science,positive,45,intrigued
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,6/7/20 2:08,GIF,science,positive,45,intrigued
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,26/3/21 5:42,GIF,science,positive,65,love
245,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,13/9/20 11:24,GIF,tennis,positive,70,cherish
246,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,28/1/21 21:06,GIF,tennis,negative,12,worried
247,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,20/1/21 1:15,GIF,tennis,neutral,20,indifferent
248,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,3/9/20 1:15,GIF,tennis,positive,75,super love
249,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,9/1/21 10:46,GIF,tennis,negative,12,worried
